placa;anno_permiso;Tipo_pago;CodSII;fecha_emision;fecha_pago;MONTO_PAGADO;REAJUSTE;MULTA;PERMISO_ANTERIOR;ELECTRONICO_PAPEL;FECHA_VENCIMIENTO;SEXO
TJVX87;2024;TOTAL;;04/11/2024;04/11/2024;91849;0;0;VALDIVIA;PAPEL;31/03/2025;H
TJVX88;2024;TOTAL;;04/11/2024;04/11/2024;62731;0;0;MAFIL;PAPEL;31/03/2025;H
TJVX89;2024;TOTAL;;04/11/2024;04/11/2024;33614;0;0;SAN JOSE;PAPEL;31/03/2025;M
TJVX92;2024;TOTAL;;15/11/2024;18/11/2024;45451;0;0;SANTIAGO;PAPEL;31/03/2025;M
TJVX97;2024;TOTAL;;22/11/2024;22/11/2024;167875;0;0;PUERTO MONTT;PAPEL;31/03/2025;M
TJVX98;2024;TOTAL;;22/11/2024;22/11/2024;167875;0;0;PUERTO MONTT;PAPEL;31/03/2025;M
TJVZ54;2024;TOTAL;;06/11/2024;06/11/2024;82953;0;0;SANTIAGO;PAPEL;30/09/2025;H
TRWF41;2024;TOTAL;;12/11/2024;12/11/2024;13825;0;0;PUERTO MONTT;PAPEL;30/09/2025;H
TRYJ77;2024;TOTAL;;28/11/2024;29/11/2024;13825;0;0;PUERTO MONTT;ELECTRONICO;30/09/2025;M
TSWG17;2024;TOTAL;;06/11/2024;06/11/2024;33181;0;0;SANTIAGO;PAPEL;30/09/2025;H
TTGW30;2024;TOTAL;;04/11/2024;04/11/2024;126950;0;0;PUERTO MONTT;PAPEL;31/03/2025;M
TTGW35;2024;TOTAL;;04/11/2024;04/11/2024;69589;0;0;PUERTO MONTT;PAPEL;31/03/2025;H
TTGW51;2024;TOTAL;;04/11/2024;04/11/2024;33865;0;0;MAIPU;PAPEL;31/03/2025;M
TTGW55;2024;TOTAL;;04/11/2024;04/11/2024;124375;0;0;RENCA;PAPEL;31/03/2025;H
TTGW56;2024;TOTAL;;04/11/2024;04/11/2024;35818;0;0;VALDIVIA;PAPEL;31/03/2025;M
TTGW61;2024;TOTAL;;04/11/2024;04/11/2024;69788;0;0;MAFIL;PAPEL;31/03/2025;H
TTGW65;2024;TOTAL;;15/11/2024;18/11/2024;160636;0;0;SAN JOSE;PAPEL;31/03/2025;M
TTGW66;2024;TOTAL;;15/11/2024;18/11/2024;160636;0;0;SANTIAGO;PAPEL;31/03/2025;H
